node_id_from	node_id_to	length
175859653	175859670	13.372081
130737077	130737220	13.432730
315898354	315898360	13.432960
130736694	130736726	13.448875
316045205	316045335	13.455665
1306292007	1306292008	13.457830
175859411	175859412	13.480676
177083795	1306309306	13.489354
177083659	177083686	13.514219
176124344	176124347	13.525009
176124332	176124334	13.535480
177084063	177084366	13.555422
149440980	1306307020	13.567176
175859340	175859350	13.573140
175837016	1306301004	13.592781
175366591	175366594	13.633340
724134485	724134486	13.634658
175837009	175837018	13.636377
314704589	314704675	13.637185
174568254	174568256	13.646450
348500750	348500755	13.649098
130737137	130737286	13.673911
242199272	242199273	13.685969
130736986	130737056	13.686963
175366582	175366585	13.698624
242970277	242970288	13.715195
175176390	175176393	13.721708
177084359	177084521	13.736474
207219979	207219981	13.744974
315844876	315844920	13.766157
242199339	1303405842	13.775830
176124300	176124302	13.803626
105305465	105305493	13.819278
163725108	316346639	13.828563
176124214	176124257	13.829372
175859496	175859514	13.854490
176124655	176124656	13.865747
128191615	156978885	13.894609
175176505	203039428	13.909794
177084446	177084541	13.910693
175859335	175859340	13.912419
175834297	175834299	13.937895
174874496	1306307019	13.938402
175176376	175176385	13.938643
130736863	130736894	13.940105
177083911	177083945	13.940330
2815453	2815454	13.940555
206285246	206285252	13.941365
175859534	175859576	13.943487
130737303	130737348	13.945300
2335774	2335776	13.976947
242350114	242350116	13.988719
2335778	2335780	14.012653
130736284	130736359	14.037468
130736403	130736472	14.041240
243390134	314692739	14.041696
105329140	376941538	14.041704
165318306	174874716	14.045716
242915682	242915684	14.048958
174874643	174874646	14.057207
690681958	690711117	14.058739
175837022	175837035	14.068580
242970287	242970390	14.078411
175834173	175834185	14.087838
242970250	242970266	14.099681
175859626	175859627	14.121335
130736856	130736890	14.128490
175834207	175834216	14.139195
177083763	177083798	14.141278
242960551	242960582	14.165447
315856358	315856362	14.173835
315856287	315856291	14.174890
175836994	1304831462	14.180607
176124330	176124332	14.181317
2815451	157435299	14.196082
177083554	177083884	14.199353
175836960	175837221	14.209718
130737154	1303416630	14.213343
315256858	315256860	14.239073
316346662	316346715	14.243433
175859388	175859393	14.268599
3157288	3823715	14.270349
175837063	175837071	14.278415
175366649	175366662	14.278572
175859425	175859427	14.289544
177083311	177083314	14.290008
130736326	130736403	14.293081
175859459	175859465	14.295676
3686731	3686732	14.295914
177083315	177083318	14.298398
130736168	130736795	14.298751
175837145	175837147	14.314660
348500754	348500756	14.323418
242970205	242970260	14.335018
175859373	175859380	14.335448
314704874	314705138	14.343699
316635104	316635134	14.346387
175859361	175859521	14.384337
316008792	316008816	14.389152
105329205	140152783	14.401672
105305459	174874488	14.406272
314704562	314704726	14.412871
130736659	130736697	14.414896
316046722	316046810	14.450969
316008784	316008828	14.461565
243256309	243256351	14.463984
175859439	175859441	14.478926
177083178	177083871	14.495049
177083456	177083570	14.514343
175176244	175176248	14.517442
243390251	243390297	14.522318
315856349	315856359	14.533015
156978887	156978894	14.533494
243256341	243256344	14.534576
315268558	315268591	14.536813
177083698	177083773	14.545859
175176385	175176387	14.545917
130737365	130737372	14.555795
176124340	176124342	14.558049
130736370	130736430	14.559915
315844810	315844825	14.579415
316346667	316346718	14.579485
175859422	175859424	14.579777
105573519	1304803780	14.580405
177084353	177084516	14.581741
107683062	107683131	14.605678
177083458	1051989549	14.608805
722624800	722624801	14.613756
314704571	314705097	14.614107
242970378	242970387	14.620733
177083629	177083923	14.635052
